parent_id,id,name,data
,34,Pneumatique et électrique,{ "url": "/air-and-power/" }
34,185,Pneumatique,{ "url": "/air-and-power/air/" }
185,689,Abrasifs,{ "url": "/air-and-power/air/abrasives/" }
689,703,Meules de polissage,{ "url": "/air-and-power/air/abrasives/buffing-and-polishing-wheels/" }
689,713,Disques de ponçage et de polissage,{ "url": "/air-and-power/air/abrasives/sanding-and-polishing-discs/" }
689,722,Courroies abrasives,{ "url": "/air-and-power/air/abrasives/sanding-belts/" }
185,734,Connecteurs et raccords pneumatiques,{ "url": "/air-and-power/air/air-fittings-and-connectors/" }
734,747,Raccords et embouts pneumatiques,{ "url": "/air-and-power/air/air-fittings-and-connectors/air-couplers-and-plugs/" }
734,782,Bagues en laiton,{ "url": "/air-and-power/air/air-fittings-and-connectors/brass-bushings/" }
734,765,Coudes de laiton,{ "url": "/air-and-power/air/air-fittings-and-connectors/brass-elbows/" }
734,792,Raccords et adaptateurs en laiton,{ "url": "/air-and-power/air/air-fittings-and-connectors/brass-fittings-and-couplers/" }
734,758,Viroles de tuyau,{ "url": "/air-and-power/air/air-fittings-and-connectors/hose-ferrules/" }
185,654,Tuyaux à air et accessoires,{ "url": "/air-and-power/air/air-hoses-and-accessories/" }
654,662,Enrouleurs pour tuyau à air,{ "url": "/air-and-power/air/air-hoses-and-accessories/air-hose-reels/" }
654,669,Réparation de tuyaux à air,{ "url": "/air-and-power/air/air-hoses-and-accessories/air-hose-repair/" }
654,679,Tuyaux à air,{ "url": "/air-and-power/air/air-hoses-and-accessories/air-hoses/" }
185,802,Compresseurs, pièces et accessoires,{ "url": "/air-and-power/air/compressors-parts-and-accessories/" }
802,1035,Trousse d’aérographes,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-brush-kits/" }
802,998,Housses pour compresseur d’air,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-compressor-covers/" }
802,980,Trousses de tubulure pour compresseur d’air,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-compressor-piping-kits/" }
802,1012,Pressostats de compresseur d’air,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-compressor-pressure-switches/" }
802,1021,Huiles pour pompe de compresseur d’air,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-compressor-pump-oils/" }
802,960,Pompes de compresseur d’air,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-compressor-pumps/" }
802,988,Réservoirs de compresseur d’air,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-compressor-tanks/" }
802,865,Soupapes de compresseur d’air,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-compressor-valves/" }
802,1043,Dessiccateurs d’air et accessoires,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-dryers-and-accessories/" }
802,939,Filtres à air, régulateurs et lubrificateurs,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-filters-regulators-and-lubricators/" }
802,899,Raccords d’air,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-fittings/" }
802,908,Collecteurs d’air,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-manifolds/" }
802,874,Trousses d’accessoires pour outils pneumatiques,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-tool-accessory-kits/" }
802,847,Huiles pour outils pneumatiques,{ "url": "/air-and-power/air/compressors-parts-and-accessories/air-tool-oils/" }
802,853,Compresseurs d’air électriques,{ "url": "/air-and-power/air/compressors-parts-and-accessories/electric-powered-air-compressors/" }
802,833,Éléments filtrants et logements de filtre,{ "url": "/air-and-power/air/compressors-parts-and-accessories/filter-elements-and-canisters/" }
802,970,Compresseurs d’air à essence,{ "url": "/air-and-power/air/compressors-parts-and-accessories/gas-powered-air-compressors/" }
802,918,Réservoirs d’air portatifs,{ "url": "/air-and-power/air/compressors-parts-and-accessories/portable-air-tanks/" }
802,930,Manomètres,{ "url": "/air-and-power/air/compressors-parts-and-accessories/pressure-gauges/" }
802,884,Pièces de rechange,{ "url": "/air-and-power/air/compressors-parts-and-accessories/replacement-parts/" }
802,812,Plaquettes antivibration,{ "url": "/air-and-power/air/compressors-parts-and-accessories/vibration-pads/" }
185,523,Pulvérisateurs de peinture et accessoires,{ "url": "/air-and-power/air/paint-sprayers-and-accessories/" }
523,602,Feuilles de masquage,{ "url": "/air-and-power/air/paint-sprayers-and-accessories/masking-sheeting/" }
523,593,Ruban à masquer,{ "url": "/air-and-power/air/paint-sprayers-and-accessories/masking-tape/" }
523,618,Tasses à mélanger,{ "url": "/air-and-power/air/paint-sprayers-and-accessories/mixing-cups/" }
523,558,Fours,{ "url": "/air-and-power/air/paint-sprayers-and-accessories/ovens/" }
523,584,Supports pour peinture,{ "url": "/air-and-power/air/paint-sprayers-and-accessories/paint-hangers/" }
523,570,Cabines et abris de pulvérisation de peinture,{ "url": "/air-and-power/air/paint-sprayers-and-accessories/paint-spray-booths-and-shelters/" }
523,531,Accessoires pour pistolet pulvérisateur de peinture,{ "url": "/air-and-power/air/paint-sprayers-and-accessories/paint-spray-gun-accessories/" }
523,543,Pistolets pulvérisateurs de peinture,{ "url": "/air-and-power/air/paint-sprayers-and-accessories/paint-spray-guns/" }
185,196,Outils et accessoires pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/" }
196,449,Accessoires de soufflette,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-blow-gun-accessories/" }
196,245,Soufflettes,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-blow-guns/" }
196,364,Scies pneumatiques pour carrosserie,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-body-saws/" }
196,232,Pistolets à calfeutrer pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-caulk-guns/" }
196,279,Ébarbeurs/dérouilleur-détartreurs pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-chippers-needle-scalers/" }
196,215,Mandrins pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-chucks/" }
196,501,Outils de coupe pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-cut-off-tools/" }
196,204,Meules à rectifier les matrices pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-die-grinders/" }
196,318,Perceuses pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-drills/" }
196,512,not available,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-files/" }
196,494,Accessoires pour marteau pneumatique,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-hammer-accessories/" }
196,290,Marteaux pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-hammers/" }
196,257,Pinces à sertir pour tuyau à air,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-hose-crimpers/" }
196,298,Clés à chocs pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-impact-wrenches/" }
196,489,Accessoires pour grignoteuse pneumatique,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-nibbler-accessories/" }
196,346,Grignoteuses pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-nibblers/" }
196,327,Outils de bridage et de poinçonnage,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-punch-and-flange-tools/" }
196,306,Clés à cliquet pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-ratchet-wrenches/" }
196,472,Accessoires pour riveteuse pneumatique,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-riveter-accessories/" }
196,337,Riveteuses pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-riveters/" }
196,355,Tournevis à air comprimé,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-screwdrivers/" }
196,375,Cisailles pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-shears/" }
196,408,Trousses d’outils pneumatiques,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/air-tool-kits/" }
196,385,Agrafeueuses/cloueuses,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/nailers-staplers/" }
196,464,Lames de rechange,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/replacement-blades/" }
196,395,Ciseaux de rechange,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/replacement-chisels/" }
196,437,Pistolets pulvérisateurs de nettoyage,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/spray-cleaning-guns/" }
196,419,Gonfleurs de pneus, manomètres et accessoires,{ "url": "/air-and-power/air/pneumatic-tools-and-accessories/tire-inflators-gauges-and-accessories/" }
185,1052,Outils et accessoires de sablage,{ "url": "/air-and-power/air/sandblasting-tools-and-accessories/" }
1052,1135,Accessoires de décapeuse à projection abrasive,{ "url": "/air-and-power/air/sandblasting-tools-and-accessories/abrasive-blaster-accessories/" }
1052,1125,Pistolets décapeurs à projection abrasive,{ "url": "/air-and-power/air/sandblasting-tools-and-accessories/abrasive-blaster-guns/" }
1052,1102,Décapeuses,{ "url": "/air-and-power/air/sandblasting-tools-and-accessories/abrasive-blasters/" }
1052,1116,Coffrets et accessoires pour projection abrasive,{ "url": "/air-and-power/air/sandblasting-tools-and-accessories/abrasive-blasting-cabinets-and-accessories/" }
1052,1065,Buses de projection abrasive,{ "url": "/air-and-power/air/sandblasting-tools-and-accessories/abrasive-blasting-nozzles/" }
1052,1091,Produit de décapage,{ "url": "/air-and-power/air/sandblasting-tools-and-accessories/blasting-media/" }
1052,1080,Trousse de conversion pour projection de bicarbonate de soude,{ "url": "/air-and-power/air/sandblasting-tools-and-accessories/soda-blast-conversion-kit/" }
185,633,Ponceuses et polisseuses,{ "url": "/air-and-power/air/sanders-and-polishers/" }
633,643,Sableuses et polisseuses pneumatiques,{ "url": "/air-and-power/air/sanders-and-polishers/air-sanders-and-polishers/" }
185,1144,Attaches d’outil et accessoires,{ "url": "/air-and-power/air/tool-attachments-and-accessories/" }
1144,1163,Porte-embouts et rallonges,{ "url": "/air-and-power/air/tool-attachments-and-accessories/bit-holders-and-extensions/" }
1144,1178,Douilles et accessoires pour clés à chocs,{ "url": "/air-and-power/air/tool-attachments-and-accessories/impact-socket-accessories/" }
1144,1189,Jeux de douilles pour clés à chocs,{ "url": "/air-and-power/air/tool-attachments-and-accessories/impact-socket-sets/" }
1144,1227,Douilles pour clés à chocs,{ "url": "/air-and-power/air/tool-attachments-and-accessories/impact-sockets/" }
1144,1198,Tampons de ponçage et de polissage,{ "url": "/air-and-power/air/tool-attachments-and-accessories/sanding-and-polishing-pads/" }
1144,1156,Adaptateurs pour douille,{ "url": "/air-and-power/air/tool-attachments-and-accessories/socket-adapters/" }
1144,1215,Barres de rallonge pour douille,{ "url": "/air-and-power/air/tool-attachments-and-accessories/socket-extension-bars/" }
1144,1238,Joint universel pour douille,{ "url": "/air-and-power/air/tool-attachments-and-accessories/socket-universal-joint/" }
1144,1249,Supports à outils,{ "url": "/air-and-power/air/tool-attachments-and-accessories/tool-racks/" }
34,39,Fixations et quincaillerie,{ "url": "/air-and-power/fasteners-and-hardware/" }
39,54,Clous et fixations,{ "url": "/air-and-power/fasteners-and-hardware/nails-and-fixings/" }
54,76,Clous de finition,{ "url": "/air-and-power/fasteners-and-hardware/nails-and-fixings/brad-nails/" }
54,176,Goujons, goupilles et embouts,{ "url": "/air-and-power/fasteners-and-hardware/nails-and-fixings/dowels-pins-and-plugs/" }
54,88,Clous de finition,{ "url": "/air-and-power/fasteners-and-hardware/nails-and-fixings/finishing-nails/" }
54,142,Clous à parquet,{ "url": "/air-and-power/fasteners-and-hardware/nails-and-fixings/flooring-cleats/" }
54,131,Clous à charpente,{ "url": "/air-and-power/fasteners-and-hardware/nails-and-fixings/framing-nails/" }
54,117,Pointes,{ "url": "/air-and-power/fasteners-and-hardware/nails-and-fixings/pin-nails/" }
54,103,Clous à toiture,{ "url": "/air-and-power/fasteners-and-hardware/nails-and-fixings/roofing-nails/" }
54,61,Agrafes,{ "url": "/air-and-power/fasteners-and-hardware/nails-and-fixings/staples/" }
34,1260,Alimentation,{ "url": "/air-and-power/power/" }
1260,2048,Abrasifs,{ "url": "/air-and-power/power/abrasives/" }
2048,2074,Trousses de polissage,{ "url": "/air-and-power/power/abrasives/buffing-and-polishing-kits/" }
2048,2112,Meules de polissage,{ "url": "/air-and-power/power/abrasives/buffing-and-polishing-wheels/" }
2048,2089,Pâtes à nettoyer et à polir,{ "url": "/air-and-power/power/abrasives/cleaning-and-polishing-compounds/" }
2048,2127,Disques à lamelles,{ "url": "/air-and-power/power/abrasives/flap-discs/" }
2048,2083,Disques de coupe et de meulage pour métaux,{ "url": "/air-and-power/power/abrasives/grinding-and-cutting-wheels/" }
2048,2120,Disques de ponçage et de polissage,{ "url": "/air-and-power/power/abrasives/sanding-and-polishing-discs/" }
2048,2100,Courroies abrasives,{ "url": "/air-and-power/power/abrasives/sanding-belts/" }
2048,2106,Feuilles de papier abrasif,{ "url": "/air-and-power/power/abrasives/sanding-sheets/" }
2048,2055,Disques de conditionnement de surface,{ "url": "/air-and-power/power/abrasives/surface-conditioning-discs/" }
2048,2065,Brosses métalliques circulaires et brosses forme coupelle,{ "url": "/air-and-power/power/abrasives/wire-wheel-and-cup-brushes/" }
1260,1861,Perceuses et tournevis,{ "url": "/air-and-power/power/drills-and-drivers/" }
1861,1900,Perceuses sans fil,{ "url": "/air-and-power/power/drills-and-drivers/cordless-drills/" }
1861,1874,Perceuses électriques,{ "url": "/air-and-power/power/drills-and-drivers/electric-drills/" }
1861,1893,Marteau perforateur,{ "url": "/air-and-power/power/drills-and-drivers/hammer-drills/" }
1861,1887,Tournevis à percussion,{ "url": "/air-and-power/power/drills-and-drivers/impact-drivers/" }
1861,1921,Clés à chocs,{ "url": "/air-and-power/power/drills-and-drivers/impact-wrenches/" }
1861,1910,Perceuses à percussion,{ "url": "/air-and-power/power/drills-and-drivers/rotary-hammers/" }
1861,1915,Tournevis,{ "url": "/air-and-power/power/drills-and-drivers/screwdrivers/" }
1260,2132,Collecteurs de poussières et aspirateurs,{ "url": "/air-and-power/power/dust-collectors-and-vacuum/" }
2132,2147,Soufflantes,{ "url": "/air-and-power/power/dust-collectors-and-vacuum/blowers/" }
2132,2167,Accessoires de collecteur de poussières,{ "url": "/air-and-power/power/dust-collectors-and-vacuum/dust-collector-accessories/" }
2132,2151,Collecteurs de poussières,{ "url": "/air-and-power/power/dust-collectors-and-vacuum/dust-collectors/" }
2132,2138,Appareils à vapeur,{ "url": "/air-and-power/power/dust-collectors-and-vacuum/steamers/" }
2132,2173,Accessoires pour aspirateurs,{ "url": "/air-and-power/power/dust-collectors-and-vacuum/vacuum-cleaner-accessories/" }
2132,2160,Aspirateurs humide/sec,{ "url": "/air-and-power/power/dust-collectors-and-vacuum/wet-dry-vacuum-cleaners/" }
1260,2025,Pulvérisateurs de peinture et accessoires,{ "url": "/air-and-power/power/paint-sprayers-and-accessories/" }
2025,2045,Accessoires pour pistolet pulvérisateur de peinture,{ "url": "/air-and-power/power/paint-sprayers-and-accessories/paint-spray-gun-accessories/" }
2025,2034,Pistolets pulvérisateurs de peinture,{ "url": "/air-and-power/power/paint-sprayers-and-accessories/paint-spray-guns/" }
1260,1783,Accessoires pour outils électriques,{ "url": "/air-and-power/power/power-tool-accessories/" }
1783,1799,Supports à outils,{ "url": "/air-and-power/power/power-tool-accessories/tool-racks/" }
1783,1791,Plan de travail/supports à outil,{ "url": "/air-and-power/power/power-tool-accessories/workstation-tool-stands/" }
1260,1270,Outils électriques,{ "url": "/air-and-power/power/power-tools/" }
1270,1415,Pistolets à calfeutrer,{ "url": "/air-and-power/power/power-tools/caulking-guns/" }
1270,1297,Outils de coupe,{ "url": "/air-and-power/power/power-tools/cut-off-tools/" }
1270,1397,Marteaux de démolition,{ "url": "/air-and-power/power/power-tools/demolition-hammers/" }
1270,1288,Graveurs électriques,{ "url": "/air-and-power/power/power-tools/electric-engravers/" }
1270,1280,Couteaux électriques,{ "url": "/air-and-power/power/power-tools/electric-knives/" }
1270,1365,Mélangeurs électriques,{ "url": "/air-and-power/power/power-tools/electric-mixers/" }
1270,1403,Agrafeuses/cloueuses électriques,{ "url": "/air-and-power/power/power-tools/electric-nailers-staplers/" }
1270,1426,Grignoteuses électriques,{ "url": "/air-and-power/power/power-tools/electric-nibblers/" }
1270,1344,Rabots électriques,{ "url": "/air-and-power/power/power-tools/electric-planers/" }
1270,1322,Cisailles électriques et accessoires,{ "url": "/air-and-power/power/power-tools/electric-shears-and-accessories/" }
