"ID","displayName","documentsFileName","altText","titleText","active","seoDescription","seoKeywords","seoTitle","seoURLSlug","fixedChildProducts"
"03","not available",,"03","03","False","","","","",
"0A","Scorpion","Logo_0A.png","0A","0A","True","","","","","PA0009269788"
"1A","Climaloc","Logo_1A.png","1A","1A","True","","","","","PA0009326372,PA0009326380,PA0009326398,PA0009326406,PA0009326414,PA0009326422,PA0009326430,PA0009326448,PA0009326455,PA0009326463,PA0009326471,PA0009326489,PA0009326497,PA0009326505,PA0009326513,PA0009326521,PA0009326539,PA0009326547"
"2","Brush Grubber",,"2","2","False","","","","",
"2A","Siligun","Logo_2A.png","2A","2A","False","","","","",
"3A","Siligun Pro","Logo_3A.png","3A","3A","False","","","","",
"4A","Eagle Alloys","Logo_4A.png","4A","4A","True","","","","","PA0009446246,PA0009446337,PA1000001941,PA1000001942,PA1000001943,PA1000001944,PA1000001945"
"5","Brush Grubber",,"5","5","False","","","","",
"5A","Onward","Logo_5A.png","5A","5A","True","","","","","PA0009320730,PA0009320748,PA0009335753,PA0009335779,PA0009335811"
"6A","Klingspor","Logo_6A.png","6A","6A","False","","","","","PA0009353814"
"7A","Harper","Logo_7A.png","7A","7A","True","","","","","PA0009156217,PA0009156225,PA0009183435,PA0009321894"
"8A","Up In Smoke Welding Apparel","Logo_8A.png","8A","8A","False","","","","","PA1000001947,PA1000001948,PA1000001949,PA1000001950"
"9A","Tactix","Logo_9A.png","9A","9A","True","","","","","PA0008869885,PA0008869893,PA0008869901,PA0008869919,PA0008943508,PA0008943516,PA0008943524,PA0008943532,PA0008943540,PA0008943557,PA0008943565,PA0008943573,PA0008943581,PA0008943607,PA0009064155,PA0009176165,PA0009176173,PA0009176181,PA0009176199,PA0009176207,PA0009176215,PA0009176223,PA0009176231,PA0009176249,PA0009176256,PA0009176264,PA0009176272,PA0009176280,PA0009245622"
"A0","Henx","Logo_A0.png","A0","A0","True","","","","","PA0009005208,PA0009005216,PA0009005224,PA0009005232,PA0009005240,PA0009005257,PA0009005265,PA0009005273,PA0009005281,PA0009005299,PA0009005307,PA0009005315,PA0009005323,PA0009005331,PA0009005349"
"A1","Char Broil","Logo_A1.png","A1","A1","False","","","","",
"A2","Scepter","Logo_A2.png","A2","A2","True","","","","","PA0008237869,PA0008237877,PA0008251597,PA0008275281,PA0008324386,PA0008324394,PA0008324790,PA0008345340,PA0008347809,PA0008347817,PA0008347825,PA0008377970,PA0008451411,PA0008451437,PA0008454639,PA0008541476,PA0008562779,PA0008562811,PA0008589137,PA0008589160,PA0008589178,PA0008589301,PA0008589319,PA0008661746,PA0008805020,PA0008948655,PA0009039504,PA0009176660,PA0009182221,PA0009273996,PA0009274002,PA1000000384"
"A3","Archer","Logo_A3.png","A3","A3","True","","","","","PA0009000977,PA0009000985,PA0009000993,PA0009001009,PA0009001017,PA0009001025,PA0009001033,PA0009001041,PA0009001058,PA0009001066,PA0009001074,PA0009001082,PA0009001090,PA0009001108,PA0009001116,PA0009001124"
"A4","ExcelAir","Logo_A4.png","A4","A4","False","","","","","PA0008998999"
"A5","Mixtech","Logo_A5.png","A5","A5","True","","","","","PA0008925869,PA0008925877,PA0008925885,PA0009074824,PA0009074832,PA0009074840"
"A6","G Power",,"A6","A6","False","","","","",
"A7","Discover","Logo_A7.png","A7","A7","True","","","","","PA0008998304,PA0008998312,PA0008998320,PA0009024530"
"A8","Quantum","Logo_A8.png","A8","A8","False","","","","",
"A9","Zebco","Logo_A9.png","A9","A9","False","","","","",
"AA","Arm & Hammer","Logo_AA.png","AA","AA","False","","","","","PA0008929820,PA0008929838,PA0008929846,PA0008929853"
"AB","Absorbine","logo_AB.png","AB","AB","True","","","","","PA0002470138,PA0008259806,PA0008981367"
"AC","AC Delco","logo_AC.png","AC","AC","False","","","","","PA0004200033,PA0004200042,PA0008407686,PA0008407694"
"AD","Adjustable Clamp","logo_AD.png","AD","AD","False","","","","","PA0008316556,PA0008365959,PA0008388183,PA0008388209,PA0008388217,PA0008388233"
"AE","Advance Equipment","logo_AE.png","AE","AE","True","","","","","PA0008178998,PA0008251191,PA0008312159,PA0008312167,PA0008312175,PA0008312183,PA0008312191,PA0008312209,PA0008312225,PA0008312233,PA0008364747,PA0008476822"
"AF","Sandits","logo_AF.png","AF","AF","False","","","","","PA0008509713,PA0008613184,PA0008613200"
"AG","Atlas Graham","logo_AG.png","AG","AG","True","","","","","PA0008059719,PA0008368102,PA0008440166,PA0008440190,PA0008440216,PA0008440224,PA0009240649"
"AH","Alligator Board","logo_AH.png","AH","AH","False","","","","","PA0008403909"
"AI","ALC Tools","logo_AI.png","AI","AI","False","","","","","PA0008553711"
"AJ","Akron","logo_AJ.png","AJ","AJ","False","","","","","PA0008288474,PA0008288490,PA0008652414,PA0008652455,PA0008822835"
