"ID","fixedChildProducts","fixedChildCategories","displayName_en","displayName_fr_CA","description_en","description_fr_CA","paDocumentsFileNames","altText","titleText","active","seoDescription_en","seoDescription_fr_CA","seo_keywords_en","seo_keywords_fr_CA","seoTitle_en","seoTitle_fr_CA","seoUrlSlug"
"200-000-000-000",,"200-040-000-000,200-090-000-000,200-020-000-000,200-030-000-000,200-065-000-000,200-015-000-000,200-005-000-000,200-060-000-000,200-025-000-000,200-100-000-000,200-045-000-000,200-050-000-000,200-075-000-000,200-080-000-000,200-095-000-000,200-105-000-000,200-035-000-000,200-055-000-000,200-070-000-000,200-010-000-000","Surplus","Surplus",,,"","Surplus","Surplus","True",,,,,"Surplus","Surplus","200-000-000-000 Surplus"
"310-000-000-000",,"310-035-000-000,310-010-000-000,310-015-000-000,310-040-000-000,310-045-000-000,310-025-000-000,310-020-000-000,310-030-000-000,310-005-000-000","Trailer","Remorque",,,"310-000-000-000_banner.jpg","Trailer","Trailer","True",,,,,"Trailer","Remorque","310-000-000-000 Trailer"
"320-000-000-000",,"320-015-000-000,320-010-000-000,320-005-000-000","Air and Power","Pneumatique et électrique",,,"320-000-000-000_banner.jpg","Air and Power","Air and Power","True",,,,,"Air and Power","Pneumatique et électrique","320-000-000-000 Air and Power"
"330-000-000-000",,"330-005-000-000,330-010-000-000,330-030-000-000,330-015-000-000,330-060-000-000,330-040-000-000,330-020-000-000,330-045-000-000,330-050-000-000,330-025-000-000,330-055-000-000","Auto Repair","Réparation d'automobiles",,,"330-000-000-000_banner.jpg","Auto Repair","Auto Repair","True",,,,,"Auto Repair","Réparation d'automobiles","330-000-000-000 Auto Repair"
"340-000-000-000",,"340-015-000-000,340-010-000-000,340-020-000-000,340-040-000-000,340-045-000-000,340-050-000-000","Seasonal","Saisonnier",,,"340-000-000-000_banner.jpg","Seasonal","Seasonal","True",,,,,"Seasonal","Saisonnier","340-000-000-000 Seasonal"
"360-000-000-000",,"360-005-000-000,360-020-000-000,360-010-000-000","Hand Tools","Outils à main",,,"360-000-000-000_banner.jpg","Hand Tools","Hand Tools","True",,,,,"Hand Tools","Outils à main","360-000-000-000 Hand Tools"
"370-000-000-000",,"370-005-000-000,370-050-000-000,370-030-000-000,370-035-000-000,370-055-000-000,370-015-000-000,370-020-000-000,370-040-000-000,370-045-000-000,370-010-000-000","Recreational","Loisirs",,,"370-000-000-000_banner.jpg","Recreational","Recreational","True",,,,,"Recreational","Loisirs","370-000-000-000 Recreational"
"380-000-000-000",,"380-010-000-000,380-040-000-000,380-030-000-000,380-015-000-000,380-060-000-000,380-020-000-000,380-045-000-000,380-050-000-000,380-055-000-000,380-025-000-000,380-005-000-000,380-035-000-000","Farm","Agriculture",,,"380-000-000-000_banner_md.jpg","Farm","Farm","True",,,,,"Farm","Agriculture","380-000-000-000 Farm"
"400-000-000-000",,"400-015-000-000,400-045-000-000,400-040-000-000,400-005-000-000,400-025-000-000,400-010-000-000,400-030-000-000,400-050-000-000,400-035-000-000","Shop and Garage","Atelier et garage",,,"400-000-000-000_banner_md.jpg","Shop and Garage","Shop and Garage","True",,,,,"Shop and Garage","Atelier et garage","400-000-000-000 Shop and Garage"
"410-000-000-000",,"410-005-000-000,410-025-000-000,410-010-000-000,410-030-000-000,410-035-000-000,410-015-000-000,410-020-000-000","Truck","Camion",,,"410-000-000-000_banner.jpg","Truck","Truck","True",,,,,"Truck","Camion","410-000-000-000 Truck"
"420-000-000-000",,"420-015-000-000,420-035-000-000,420-025-000-000,420-005-000-000,420-010-000-000,420-030-000-000,420-020-000-000","Outdoor Power Equipment","Équipement motorisé extérieur",,,"420-000-000-000_banner_md.jpg","Outdoor Power Equipment","Outdoor Power Equipment","True",,,,,"Outdoor Power Equipment","Équipement motorisé extérieur","420-000-000-000 Outdoor Power Equipment"
"440-000-000-000",,"440-005-000-000","Hydraulics","Hydraulique",,,"440-000-000-000_banner.jpg","Hydraulics","Hydraulics","True",,,,,"Hydraulics","Hydraulique","440-000-000-000 Hydraulics"
"460-000-000-000",,"460-005-000-000,460-015-000-000,460-010-000-000,460-020-000-000","Metal Fabrication","Métallerie",,,"460-000-000-000_banner.jpg","Metal Fabrication","Metal Fabrication","True",,,,,"Metal Fabrication","Métallerie","460-000-000-000 Metal Fabrication"
"700-000-000-000",,"700-040-000-000,700-025-000-000,700-050-000-000,700-055-000-000,700-035-000-000,700-010-000-000,700-005-000-000,700-015-000-000,700-070-000-000,700-065-000-000,700-060-000-000,700-075-000-000,700-080-000-000","Parts","Pièces",,,"","Parts","Parts","True",,,,,"Parts","Pièces","700-000-000-000 Parts"
"200-005-000-000",,"200-005-015-000,200-005-085-000,200-005-040-000,200-005-020-000,200-005-035-000,200-005-055-000,200-005-065-000,200-005-070-000,200-005-090-000,200-005-045-000,200-005-030-000,200-005-005-000,200-005-075-000,200-005-050-000,200-005-025-000,200-005-010-000,200-005-080-000,200-005-060-000","Automotive","Automobile",,,"200-005-000-000.jpg","Automotive","Automotive","True",,,,,"Automotive","Automobile","200-005-000-000 Automotive"
"200-010-000-000",,"200-010-005-000,200-010-030-000,200-010-020-000,200-010-015-000,200-010-025-000,200-010-010-000","Driveline","Transmission",,,"200-010-000-000.jpg","Driveline","Driveline","True",,,,,"Driveline","Transmission","200-010-000-000 Driveline"
