customer_number,status_1,customer_attention,customer_name,address_1,address_2,address_3,city,province,postal,country,phone,Company Email Address,Admin First Name,Admin Last Name,Admin Email Address,credit_limit,credit_available
629,A,DEFAULT,RM OF FERTILE VALLEY #285,316 RAILWAY AVENUE,,,CONQUEST,SK,S0L 0L0,CAN,306-856-2037,AR629@pal.ca,.,RM OF FERTILE VALLEY #285,Admin629@pal.ca,500,500
640,6,DEFAULT,ALLIED AVIATION**ACCT CLOSED**,PO BOX 329,,,GANDER,NL,A1V 1W7,CAN,709-256-4581,AR640@pal.ca,.,ALLIED AVIATION**ACCT CLOSED**,Admin640@pal.ca,0,0
643,A,DEFAULT,CORNWALL GRAVEL CO LTD,PO BOX 67,,,CORNWALL,ON,K6H 5R9,CAN,613-932-6571,AR643@pal.ca,.,CORNWALL GRAVEL CO LTD,Admin643@pal.ca,7500,7500
699,6,DEFAULT,KEN CHILL LOG***ACCT CLOSED***,176 STATION RD,,,THESSALON,ON,P0R 1L0,CAN,705-842-5912,AR699@pal.ca,.,KEN CHILL LOG***ACCT CLOSED***,Admin699@pal.ca,0,0
772,6,DEFAULT,ACCURATE SCALE SERVICE  EX,1444 LOGAN AVENUE,,,WINNIPEG,MB,R3E 1S2,CAN,204-775-5866,AR772@pal.ca,.,ACCURATE SCALE SERVICE  EX,Admin772@pal.ca,0,0
773,6,DEFAULT,ESSROC-CANADA***ACCT CLOSED***,PO BOX 1030,,,CAMBRIDGE,ON,N1R 5Y2,CAN,519-621-4790,AR773@pal.ca,.,ESSROC-CANADA***ACCT CLOSED***,Admin773@pal.ca,0,0
780,6,DEFAULT,MOLINARO'S FINE ITALIAN FOODS,50-2345 STANFIELD RD,,,MISSISSAUGA,ON,L4Y 3Y3,CAN,905-275-7400,AR780@pal.ca,.,MOLINARO'S FINE ITALIAN FOODS,Admin780@pal.ca,0,0
783,5,DEFAULT,LLOYDMINSTER CITY OF,4420 - 50 AVE,,,LLOYDMINSTER,SK,T9V 0W2,CAN,780-875-6184,AR783@pal.ca,.,LLOYDMINSTER CITY OF,Admin783@pal.ca,7500,7500
989,6,DEFAULT,ENTREPRISE****ACCT CLOSED****,1007 NOTRE DAME ST,,,CHAMPLAIN,QC,G0X 1C0,CAN,819-295-3346,AR989@pal.ca,.,ENTREPRISE****ACCT CLOSED****,Admin989@pal.ca,0,0
1335,A,DEFAULT,WILLOWBROOK NURSERIES,935 VICTORIA AVE,,,FENWICK,ON,L0S 1C0,CAN,905-892-5350,AR1335@pal.ca,.,WILLOWBROOK NURSERIES,Admin1335@pal.ca,1000,1000
1386,A,DEFAULT,EXCAVATION PAUL GILBERT & FILS,5013 ROUTE 220,,,ORFORD,QC,J1X 7M9,CAN,819-843-3956,AR1386@pal.ca,.,EXCAVATION PAUL GILBERT & FILS,Admin1386@pal.ca,1000,1000
