"customer_number","status_1","customer_attention","customer_name","address_1","address_2","address_3","city","province","postal","country","phone","credit_limit","credit_available"
"629","A","DEFAULT","RM OF FERTILE VALLEY #285","316 RAILWAY AVENUE","","","CONQUEST","SK","S0L 0L0","CAN","306-856-2037","500","500"
"640","9","DEFAULT","ALLIED AVIATION**ACCT CLOSED**","PO BOX 329","","","GANDER","NL","A1V 1W7","CAN","709-256-4581","0","0"
"643","A","DEFAULT","CORNWALL GRAVEL CO LTD","PO BOX 67","","","CORNWALL","ON","K6H 5R9","CAN","613-932-6571","7500","6284"
"699","9","DEFAULT","KEN CHILL LOG***ACCT CLOSED***","176 STATION RD","","","THESSALON","ON","P0R 1L0","CAN","705-842-5912","0","0"
"772","9","DEFAULT","ACCURATE SCALE SERVICE  EX","1444 LOGAN AVENUE","","","WINNIPEG","MB","R3E 1S2","CAN","204-775-5866","0","0"
"773","9","DEFAULT","ESSROC-CANADA***ACCT CLOSED***","PO BOX 1030","","","CAMBRIDGE","ON","N1R 5Y2","CAN","519-621-4790","0","0"
"780","9","DEFAULT","MOLINARO'S FINE ITALIAN FOODS","50-2345 STANFIELD RD","","","MISSISSAUGA","ON","L4Y 3Y3","CAN","905-275-7400","0","0"
"783","5","DEFAULT","LLOYDMINSTER CITY OF","4420 - 50 AVE","","","LLOYDMINSTER","SK","T9V 0W2","CAN","780-875-6184","7500","7500"
"989","9","DEFAULT","ENTREPRISE****ACCT CLOSED****","1007 NOTRE DAME ST","","","CHAMPLAIN","QC","G0X 1C0","CAN","819-295-3346","0","0"
"1335","A","DEFAULT","WILLOWBROOK NURSERIES","935 VICTORIA AVE","","","FENWICK","ON","L0S 1C0","CAN","905-892-5350","2000","2000"
"1386","A","DEFAULT","EXCAVATION PAUL GILBERT & FILS","5013 ROUTE 220","","","ORFORD","QC","J1X 7M9","CAN","819-843-3956","1000","533"
"1706","5","DEFAULT","NELSON RIVER LOGGING","PO BOX 75","","","WABOWDEN","MB","R0B 1S0","CAN","204-689-2319","1000","1000"
"1737","A","DEFAULT","MID-ISLE FARMS","BOX 30","","","ALBANY","PE","C0B 1A0","CAN","902-855-2155","1000","906"
"1749","3","DEFAULT","WHISTLER RESORT MUNICIPALITY O","4325 BLACKCOMB WAY","","","WHISTLER","BC","V8E 0X5","CAN","604-932-5535","1000","1000"
"1753","9","DEFAULT","FURMANITE CANADA CORP","1373 CONFEDERATION","UNIT 2","","SARNIA","ON","N7S 5P1","CAN","519-344-9292","0","0"
"1791","9","DEFAULT","LANSING BLDG***ACCT CLOSED***","1170 MARTINGROVE RD","","","ETOBICOKE","ON","M9W 4X1","CAN","416-241-5129","0","0"
"1841","9","DEFAULT","NAGAARD SAWMILL LTD","7349 HECTOR RD","","","PORT ALBERNI","BC","V9Y 9E8","CAN","250-724-1197","0","0"
"1842","9","DEFAULT","LABELS UNLIMITED INC  EX","67 ARCHIBALD ST","","","WINNIPEG","MB","R2J 0V7","CAN","204-233-4444","0","0"
