id,language,name,address_1,address_2,city,province_state_code,country,zip,email,phoneNumber,extraPhone,hours,pickUp,showOnPDP,latitude,longitude,showBopisMessage
2,en,Lethbridge,2950 32nd Street South,second street,Lethbridge,AB,CA,T1K 7B4,mailorder@princessauto.com,4033277300,18777251002,"{""storeId"":""2"",""name"":""Store Name"",""timeZone"":""America/Edmonton"",""workingDays"":[{""day"":""SUN"",""workingHours"":[""09: 00|17: 00""]},{""day"":""MON"",""workingHours"":[""07: 00|21: 00""]},{""day"":""TUE"",""workingHours"":[""07: 00|21: 00""]},{""day"":""WED"",""workingHours"":[""07: 00|21: 00""]},{""day"":""THU"",""workingHours"":[""07: 00|21: 00""]},{""day"":""FRI"",""workingHours"":[""07: 00|21: 00""]},{""day"":""SAT"",""workingHours"":[""08: 00|18: 00""]}],""holidays"":{""JAN"":[{""name"":""New Year's Day"",""day"":1,""hours"":[]}],""FEB"":[{""name"":""Family Day"",""day"":17,""hours"":[""10:00|17:00""]}],""APR"":[{""name"":""Good Friday"",""day"":18,""hours"":[]},{""name"":""Easter Sunday"",""day"":20,""hours"":[]}],""MAY"":[{""name"":""Victoria Day"",""day"":19,""hours"":[""10:00|17:00""]}],""JUL"":[{""name"":""Canada Day"",""day"":1,""hours"":[]}],""AUG"":[{""name"":""August Civic Holiday"",""day"":4,""hours"":[""10:00|17:00""]}],""SEP"":[{""name"":""Labour Day"",""day"":1,""hours"":[""10:00|17:00""]}],""OCT"":[{""name"":""Thanksgiving Day"",""day"":13,""hours"":[]}]}}",TRUE,TRUE,49.66405,-112.796935,TRUE
2,fr_CA,Lethbridge,2950 32nd Street South,,Lethbridge,AB,CA,T1K 7B4,mailorder@princessauto.com,4033277300,8777251002,"{""storeId"":""2"",""name"":""Store Name"",""timeZone"":""America/Edmonton"",""workingDays"":[{""day"":""SUN"",""workingHours"":[""09: 00|17: 00""]},{""day"":""MON"",""workingHours"":[""07: 00|21: 00""]},{""day"":""TUE"",""workingHours"":[""07: 00|21: 00""]},{""day"":""WED"",""workingHours"":[""07: 00|21: 00""]},{""day"":""THU"",""workingHours"":[""07: 00|21: 00""]},{""day"":""FRI"",""workingHours"":[""07: 00|21: 00""]},{""day"":""SAT"",""workingHours"":[""08: 00|18: 00""]}],""holidays"":{""JAN"":[{""name"":""Jour de l'an"",""day"":1,""hours"":[]}],""FEB"":[{""name"":""Jour de la famille"",""day"":17,""hours"":[""10:00|17:00""]}],""APR"":[{""name"":""Vendredi saint"",""day"":18,""hours"":[]},{""name"":""Pâques"",""day"":20,""hours"":[]}],""MAY"":[{""name"":""Fête de la Reine"",""day"":19,""hours"":[""10:00|17:00""]}],""JUL"":[{""name"":""Fête du Canada"",""day"":1,""hours"":[]}],""AUG"":[{""name"":""Congé civique d'août"",""day"":4,""hours"":[""10:00|17:00""]}],""SEP"":[{""name"":""Fête du travail"",""day"":1,""hours"":[""10:00|17:00""]}],""OCT"":[{""name"":""Action de grâce"",""day"":13,""hours"":[]}]}}",TRUE,TRUE,49.66405,-112.796935,TRUE
3,en,Panet,515 Panet Rd,,Winnipeg,MB,CA,R2C 2Z1,mailorder@princessauto.com,2046694252,18667250003,"{""storeId"":""3"",""name"":""Store Name"",""timeZone"":""America/Winnipeg"",""workingDays"":[{""day"":""SUN"",""workingHours"":[""09: 00|17: 00""]},{""day"":""MON"",""workingHours"":[""07: 00|21: 00""]},{""day"":""TUE"",""workingHours"":[""07: 00|21: 00""]},{""day"":""WED"",""workingHours"":[""07: 00|21: 00""]},{""day"":""THU"",""workingHours"":[""07: 00|21: 00""]},{""day"":""FRI"",""workingHours"":[""07: 00|21: 00""]},{""day"":""SAT"",""workingHours"":[""08: 00|18: 00""]}],""holidays"":{""JAN"":[{""name"":""New Year's Day"",""day"":1,""hours"":[]}],""FEB"":[{""name"":""Louis Riel Day"",""day"":17,""hours"":[""10:00|17:00""]}],""APR"":[{""name"":""Good Friday"",""day"":18,""hours"":[]},{""name"":""Easter Sunday"",""day"":20,""hours"":[]}],""MAY"":[{""name"":""Victoria Day"",""day"":19,""hours"":[""10:00|17:00""]}],""JUL"":[{""name"":""Canada Day"",""day"":1,""hours"":[]}],""AUG"":[{""name"":""August Civic Holiday"",""day"":4,""hours"":[""10:00|17:00""]}],""SEP"":[{""name"":""Labour Day"",""day"":1,""hours"":[""10:00|17:00""]}],""OCT"":[{""name"":""Thanksgiving Day"",""day"":13,""hours"":[]}]}}",TRUE,TRUE,49.898634,-97.072599,TRUE
3,fr_CA,Panet,515 Panet Rd,,Winnipeg,MB,CA,R2C 2Z1,mailorder@princessauto.com,2046694252,18667250003,"{""storeId"":""3"",""name"":""Store Name"",""timeZone"":""America/Winnipeg"",""workingDays"":[{""day"":""SUN"",""workingHours"":[""09: 00|17: 00""]},{""day"":""MON"",""workingHours"":[""07: 00|21: 00""]},{""day"":""TUE"",""workingHours"":[""07: 00|21: 00""]},{""day"":""WED"",""workingHours"":[""07: 00|21: 00""]},{""day"":""THU"",""workingHours"":[""07: 00|21: 00""]},{""day"":""FRI"",""workingHours"":[""07: 00|21: 00""]},{""day"":""SAT"",""workingHours"":[""08: 00|18: 00""]}],""holidays"":{""JAN"":[{""name"":""Jour de l'an"",""day"":1,""hours"":[]}],""FEB"":[{""name"":""Journée Louis Riel"",""day"":17,""hours"":[""10:00|17:00""]}],""APR"":[{""name"":""Vendredi saint"",""day"":18,""hours"":[]},{""name"":""Pâques"",""day"":20,""hours"":[]}],""MAY"":[{""name"":""Fête de la Reine"",""day"":19,""hours"":[""10:00|17:00""]}],""JUL"":[{""name"":""Fête du Canada"",""day"":1,""hours"":[]}],""AUG"":[{""name"":""Congé civique d'août"",""day"":4,""hours"":[""10:00|17:00""]}],""SEP"":[{""name"":""Fête du travail"",""day"":1,""hours"":[""10:00|17:00""]}],""OCT"":[{""name"":""Action de grâce"",""day"":13,""hours"":[]}]}}",TRUE,TRUE,49.898634,-97.072599,TRUE
4,en,Calgary North,"11281 38 St NE, #1000",,Calgary,AB,CA,T3N 1M7,mailorder@princessauto.com,14032501133,18887251004,"{""storeId"":""4"",""name"":""Store Name"",""timeZone"":""America/Edmonton"",""workingDays"":[{""day"":""SUN"",""workingHours"":[""09: 00|17: 00""]},{""day"":""MON"",""workingHours"":[""07: 00|21: 00""]},{""day"":""TUE"",""workingHours"":[""07: 00|21: 00""]},{""day"":""WED"",""workingHours"":[""07: 00|21: 00""]},{""day"":""THU"",""workingHours"":[""07: 00|21: 00""]},{""day"":""FRI"",""workingHours"":[""07: 00|21: 00""]},{""day"":""SAT"",""workingHours"":[""08: 00|18: 00""]}],""holidays"":{""JAN"":[{""name"":""New Year's Day"",""day"":1,""hours"":[]}],""FEB"":[{""name"":""Family Day"",""day"":17,""hours"":[""10:00|17:00""]}],""APR"":[{""name"":""Good Friday"",""day"":18,""hours"":[]},{""name"":""Easter Sunday"",""day"":20,""hours"":[]}],""MAY"":[{""name"":""Victoria Day"",""day"":19,""hours"":[""10:00|17:00""]}],""JUL"":[{""name"":""Canada Day"",""day"":1,""hours"":[]}],""AUG"":[{""name"":""August Civic Holiday"",""day"":4,""hours"":[""10:00|17:00""]}],""SEP"":[{""name"":""Labour Day"",""day"":1,""hours"":[""10:00|17:00""]}],""OCT"":[{""name"":""Thanksgiving Day"",""day"":13,""hours"":[]}]}}",TRUE,TRUE,51.1534,-113.9777,TRUE
4,fr_CA,Calgary North,"11281 38 St NE, #1000",,Calgary,AB,CA,T3N 1M7,mailorder@princessauto.com,4032501133,18887251004,"{""storeId"":""4"",""name"":""Store Name"",""timeZone"":""America/Edmonton"",""workingDays"":[{""day"":""SUN"",""workingHours"":[""09: 00|17: 00""]},{""day"":""MON"",""workingHours"":[""07: 00|21: 00""]},{""day"":""TUE"",""workingHours"":[""07: 00|21: 00""]},{""day"":""WED"",""workingHours"":[""07: 00|21: 00""]},{""day"":""THU"",""workingHours"":[""07: 00|21: 00""]},{""day"":""FRI"",""workingHours"":[""07: 00|21: 00""]},{""day"":""SAT"",""workingHours"":[""08: 00|18: 00""]}],""holidays"":{""JAN"":[{""name"":""Jour de l'an"",""day"":1,""hours"":[]}],""FEB"":[{""name"":""Jour de la famille"",""day"":17,""hours"":[""10:00|17:00""]}],""APR"":[{""name"":""Vendredi saint"",""day"":18,""hours"":[]},{""name"":""Pâques"",""day"":20,""hours"":[]}],""MAY"":[{""name"":""Fête de la Reine"",""day"":19,""hours"":[""10:00|17:00""]}],""JUL"":[{""name"":""Fête du Canada"",""day"":1,""hours"":[]}],""AUG"":[{""name"":""Congé civique d'août"",""day"":4,""hours"":[""10:00|17:00""]}],""SEP"":[{""name"":""Fête du travail"",""day"":1,""hours"":[""10:00|17:00""]}],""OCT"":[{""name"":""Action de grâce"",""day"":13,""hours"":[]}]}}",TRUE,TRUE,51.1534,-113.9777,TRUE
5,en,Edmonton West,11150 163 St NW,,Edmonton,AB,CA,T5M 3R5,mailorder@princessauto.com,17804830244,18667251005,"{""storeId"":""5"",""name"":""Store Name"",""timeZone"":""America/Edmonton"",""workingDays"":[{""day"":""SUN"",""workingHours"":[""09: 00|17: 00""]},{""day"":""MON"",""workingHours"":[""07: 00|21: 00""]},{""day"":""TUE"",""workingHours"":[""07: 00|21: 00""]},{""day"":""WED"",""workingHours"":[""07: 00|21: 00""]},{""day"":""THU"",""workingHours"":[""07: 00|21: 00""]},{""day"":""FRI"",""workingHours"":[""07: 00|21: 00""]},{""day"":""SAT"",""workingHours"":[""08: 00|18: 00""]}],""holidays"":{""JAN"":[{""name"":""New Year's Day"",""day"":1,""hours"":[]}],""FEB"":[{""name"":""Family Day"",""day"":17,""hours"":[""10:00|17:00""]}],""APR"":[{""name"":""Good Friday"",""day"":18,""hours"":[]},{""name"":""Easter Sunday"",""day"":20,""hours"":[]}],""MAY"":[{""name"":""Victoria Day"",""day"":19,""hours"":[""10:00|17:00""]}],""JUL"":[{""name"":""Canada Day"",""day"":1,""hours"":[]}],""AUG"":[{""name"":""August Civic Holiday"",""day"":4,""hours"":[""10:00|17:00""]}],""SEP"":[{""name"":""Labour Day"",""day"":1,""hours"":[""10:00|17:00""]}],""OCT"":[{""name"":""Thanksgiving Day"",""day"":13,""hours"":[]}]}}",TRUE,TRUE,53.560454,-113.602777,TRUE
5,fr_CA,Edmonton West,11150 163 St NW,,Edmonton,AB,CA,T5M 3R5,mailorder@princessauto.com,7804830244,18667251005,"{""storeId"":""5"",""name"":""Store Name"",""timeZone"":""America/Edmonton"",""workingDays"":[{""day"":""SUN"",""workingHours"":[""09: 00|17: 00""]},{""day"":""MON"",""workingHours"":[""07: 00|21: 00""]},{""day"":""TUE"",""workingHours"":[""07: 00|21: 00""]},{""day"":""WED"",""workingHours"":[""07: 00|21: 00""]},{""day"":""THU"",""workingHours"":[""07: 00|21: 00""]},{""day"":""FRI"",""workingHours"":[""07: 00|21: 00""]},{""day"":""SAT"",""workingHours"":[""08: 00|18: 00""]}],""holidays"":{""JAN"":[{""name"":""Jour de l'an"",""day"":1,""hours"":[]}],""FEB"":[{""name"":""Jour de la famille"",""day"":17,""hours"":[""10:00|17:00""]}],""APR"":[{""name"":""Vendredi saint"",""day"":18,""hours"":[]},{""name"":""Pâques"",""day"":20,""hours"":[]}],""MAY"":[{""name"":""Fête de la Reine"",""day"":19,""hours"":[""10:00|17:00""]}],""JUL"":[{""name"":""Fête du Canada"",""day"":1,""hours"":[]}],""AUG"":[{""name"":""Congé civique d'août"",""day"":4,""hours"":[""10:00|17:00""]}],""SEP"":[{""name"":""Fête du travail"",""day"":1,""hours"":[""10:00|17:00""]}],""OCT"":[{""name"":""Action de grâce"",""day"":13,""hours"":[]}]}}",TRUE,TRUE,53.560454,-113.602777,TRUE
6,en,Saskatoon,2828 Idylwyld Dr N,,Saskatoon,SK,CA,S7L 5Y6,mailorder@princessauto.com,13066658022,18667251006,"{""storeId"":""6"",""name"":""Store Name"",""timeZone"":""America/Regina"",""workingDays"":[{""day"":""SUN"",""workingHours"":[""09: 00|17: 00""]},{""day"":""MON"",""workingHours"":[""07: 00|21: 00""]},{""day"":""TUE"",""workingHours"":[""07: 00|21: 00""]},{""day"":""WED"",""workingHours"":[""07: 00|21: 00""]},{""day"":""THU"",""workingHours"":[""07: 00|21: 00""]},{""day"":""FRI"",""workingHours"":[""07: 00|21: 00""]},{""day"":""SAT"",""workingHours"":[""08: 00|18: 00""]}],""holidays"":{""JAN"":[{""name"":""New Year's Day"",""day"":1,""hours"":[]}],""FEB"":[{""name"":""Family Day"",""day"":17,""hours"":[""10:00|17:00""]}],""APR"":[{""name"":""Good Friday"",""day"":18,""hours"":[]},{""name"":""Easter Sunday"",""day"":20,""hours"":[]}],""MAY"":[{""name"":""Victoria Day"",""day"":19,""hours"":[""10:00|17:00""]}],""JUL"":[{""name"":""Canada Day"",""day"":1,""hours"":[]}],""AUG"":[{""name"":""August Civic Holiday"",""day"":4,""hours"":[""10:00|17:00""]}],""SEP"":[{""name"":""Labour Day"",""day"":1,""hours"":[""10:00|17:00""]}],""OCT"":[{""name"":""Thanksgiving Day"",""day"":13,""hours"":[]}]}}",TRUE,TRUE,52.17305,-106.669318,TRUE
6,fr_CA,Saskatoon,2828 Idylwyld Drive North,,Saskatoon,SK,CA,S7L 5Y6,mailorder@princessauto.com,3066658022,18667251006,"{""storeId"":""6"",""name"":""Store Name"",""timeZone"":""America/Regina"",""workingDays"":[{""day"":""SUN"",""workingHours"":[""09: 00|17: 00""]},{""day"":""MON"",""workingHours"":[""07: 00|21: 00""]},{""day"":""TUE"",""workingHours"":[""07: 00|21: 00""]},{""day"":""WED"",""workingHours"":[""07: 00|21: 00""]},{""day"":""THU"",""workingHours"":[""07: 00|21: 00""]},{""day"":""FRI"",""workingHours"":[""07: 00|21: 00""]},{""day"":""SAT"",""workingHours"":[""08: 00|18: 00""]}],""holidays"":{""JAN"":[{""name"":""Jour de l'an"",""day"":1,""hours"":[]}],""FEB"":[{""name"":""Jour de la famille"",""day"":17,""hours"":[""10:00|17:00""]}],""APR"":[{""name"":""Vendredi saint"",""day"":18,""hours"":[]},{""name"":""Pâques"",""day"":20,""hours"":[]}],""MAY"":[{""name"":""Fête de la Reine"",""day"":19,""hours"":[""10:00|17:00""]}],""JUL"":[{""name"":""Fête du Canada"",""day"":1,""hours"":[]}],""AUG"":[{""name"":""Congé civique d'août"",""day"":4,""hours"":[""10:00|17:00""]}],""SEP"":[{""name"":""Fête du travail"",""day"":1,""hours"":[""10:00|17:00""]}],""OCT"":[{""name"":""Action de grâce"",""day"":13,""hours"":[]}]}}",TRUE,TRUE,52.17305,-106.669318,TRUE
