/atg/commerce/catalog/ProductCatalog:sku,,,,LOCALE=en,,   
ID,PLG:princessAutoDefaultPriceGroup.ListPrice,PLG:princessAutoDefaultPriceGroup.SalePrice
0110053,11.99,4.83
0110054,11.99,4.83
0110056,11.99,4.83
0110124,24.99,
0110125,22.99,
0110127,12.99,
0110239,199.99,
0140013,21.99,8.83
0140014,16.99,8.83
0140016,26.99,10.83
0140020,7.99,3.23
0140023,2.99,
0140038,4.99,2.03
0140046,7.99,3.23
0140084,39.99,
0140140,6.29,2.53
0140142,6.99,
0140143,9.99,
0140144,9.99,
0140147,9.99,4.03
0140148,9.99,
0140149,9.99,
0140172,12.99,
0140186,3.99,1.63
0140191,13.93,
0140202,13.99,6.23
0140212,54.99,22.63
0140213,34.99,14.03
0140228,17.99,7.23
0140243,10.99,4.43
0140264,17.99,7.53
0140265,19.99,8.63
0140267,19.99,8.03
0140483,1.99,
0140491,5.99,
0140681,22.99,
0140699,22.99,
0140798,24.99,10.03
0140806,5.49,2.23
0140939,13.99,5.63
0140947,11.99,4.83
0141002,6.99,2.83
0141010,24.99,
0141200,19.99,
0141218,19.99,
0141382,3.99,1.63
0142422,19.99,14.99
0142430,36.99,29.99
0142448,36.99,29.99
0142497,11.99,4.83
0400001,7.99,
0400002,3.49,
0400044,3.99,
0400069,4.99,
0400077,6.99,
0400143,6.99,
0400150,7.99,
0400168,7.99,
0400176,8.99,
0400184,4.99,
0400192,4.99,
0400200,3.19,
0400218,3.79,
0400226,5.29,
0400234,5.49,
0400242,2.99,1.23
0400259,2.49,
0400267,3.49,
0400275,3.99,
0400325,.73,
0430008,4.29,1.73
0430010,4.99,2.03
0430014,3.93,
0430026,29.99,12.03
0430037,5.99,2.43
0430041,19.99,8.03
0430066,27.99,
0430071,39.99,
0430074,11.99,
0430135,34.99,
0430137,21.99,
0430138,17.99,
0430139,21.99,
0430140,15.99,
0430165,5.99,
0430204,15.99,
0430208,26.99,
0430212,25.99,
0430213,29.99,
0430215,24.99,
0430219,19.99,9.33
0430221,13.99,
0430237,7.99,
0430253,9.99,
0430254,7.99,
0430255,7.99,
0430257,7.99,
0430258,7.99,
0430259,7.99,3.23
0430260,7.99,3.23
0430261,7.99,
0430262,7.99,
0430263,9.99,
0430265,9.99,4.63
0430266,9.99,
0430267,9.99,
0430268,9.99,
0430269,9.99,
0430333,14.99,6.03
0430334,17.99,7.23
0430335,21.99,8.83
0430370,24.99,10.93
0430375,15.99,7.23
0430420,19.93,
0430441,19.99,8.03
0430445,149.93,
0430450,13.99,
0430967,16.99,
0431635,5.99,
0431643,5.99,
0431650,7.99,
0431668,7.99,
0431676,7.49,
0431684,7.49,
0431692,5.99,
0431700,6.99,
0431742,11.99,
0431783,19.99,
0431817,22.99,
0431957,13.99,
0432245,89.99,
0432344,49.99,21.93
0432351,15.99,7.43
0432369,21.99,8.83
0432518,8.99,3.83
0432591,22.99,
0432609,9.99,4.63
0432625,17.99,
0432708,12.99,
0432724,22.99,
0432732,22.99,
0432765,24.99,
0433144,11.99,5.53
0433169,29.99,
0433177,29.99,
0433185,10.99,
0433193,11.99,
0434019,9.99,
0434365,4.99,
0434779,11.99,4.83
0450022,59.99,
0450024,149.99,
0450052,11.93,
0450062,89.93,
0450067,48.73,
0450071,279.99,137.83
0450379,59.93,
0450387,8.33,
0470006,49.99,
0470019,19.43,
0470022,18.03,
0470023,19.43,
0470025,19.43,
0470026,14.93,
0470035,13.99,
0700138,7.99,
0700146,7.99,
0700182,11.99,
0700187,69.99,
0700247,14.93,
0700257,1.49,
0700258,1.49,.73
0700259,1.49,
0700261,1.49,
0700268,5.99,
0700269,7.99,
0700284,9.99,
0700285,6.99,
0700318,7.99,
0700320,8.99,
0700322,13.99,
0700323,9.99,
0700324,10.99,
0700326,2.93,
0700327,11.99,
0700332,9.99,
0700333,11.99,
0700338,1.93,
0700339,12.99,
0700353,10.99,
0700366,19.99,
0700371,11.23,
0700395,9.99,
0700404,7.99,
0700405,7.99,
0700633,19.99,8.03
0700849,34.99,14.93
0700856,32.99,13.23
0701003,.99,
0701367,99.99,41.53
0701375,109.99,
0702613,17.93,
0702738,14.99,9.43
0704353,7.99,4.49
0704361,8.99,4.99
0704502,22.99,
0704528,25.99,
0705012,16.99,
0706036,7.99,
0706044,8.99,
0708404,39.99,
0708412,89.99,
0708420,129.99,
0708438,34.99,
0710324,19.99,9.11
0740004,2199.99,
0740126,399.93,
0750000,159.99,
0750018,179.99,
0750026,219.99,
0750034,244.99,
0750074,449.99,
0750101,269.99,
0750152,139.99,
0750154,179.99,
0750161,219.99,
0750164,299.99,
0750349,269.93,
0750366,199.99,
0752741,139.99,79.93
0753699,129.99,81.63
0755868,149.99,88.13
0770035,13.49,5.93
0770036,19.99,
0770038,52.99,22.03
0770061,49.99,24.13
0770071,54.99,22.03
0770134,39.99,
0770145,39.99,20.43
0770149,36.99,
0770271,52.99,
0770289,89.99,
0771113,74.99,39.13
0771253,199.99,99.93
0771444,21.49,11.03
0771733,84.99,45.13
0772202,339.99,180.43
0772210,379.99,207.03
0772301,299.99,163.73
0772343,479.99,379.99
0772384,199.99,105.33
0772541,449.99,274.53
0772632,29.99,12.23
0772657,599.99,499.99
0772822,39.99,
0772871,39.99,20.83
0772889,49.99,
0772897,64.99,
0772905,74.99,34.73
1010004,16.99,8.33
1010005,22.99,9.63
1010006,19.99,12.43
1010007,32.99,14.63
1010008,44.99,18.03
1010009,49.99,24.23
1010010,54.99,
1010011,74.99,
1010019,89.99,37.83
1010172,2.23,
1030002,179.99,
1030012,239.93,
1030042,259.99,104.03
1030047,59.93,
1030052,99.99,86.03
1030060,129.93,
1030469,199.93,
1030477,99.99,
1050034,99.99,40.03
1050035,79.99,32.03
1050036,59.99,40.83
1050244,49.99,
1050251,74.99,
1050269,74.99,
1050400,74.99,
1070020,54.99,
1070022,59.99,24.83
1070093,24.93,
1090005,79.99,
1090009,129.99,
1090010,21.99,13.23
1090011,149.99,
1090014,19.99,
1090019,69.93,
1090547,49.99,32.33
1090554,19.99,
1110001,.01,
1200037,54.99,
1200038,49.93,
1200040,44.99,
1200041,29.93,
1200043,119.99,
1200066,109.99,
1200068,114.99,
1200071,114.99,
1200072,119.99,
1200079,349.99,
1200083,449.99,
1200131,119.99,
1200132,129.99,
1200133,169.99,
1200134,169.99,
1200135,189.99,
1200136,219.99,
1200137,239.99,
1200139,249.99,
1200140,329.99,
1200142,449.99,
1200196,199.99,
1200205,219.99,
1200206,219.99,
1200207,229.99,
1200208,299.99,
1200209,349.99,
1200210,179.99,
1200212,299.99,
1200213,239.99,
1200220,189.99,
1200221,199.99,
1200222,199.99,
1200223,159.99,
1200224,169.99,
1200225,174.99,
1200226,229.99,
1200227,209.99,
1200228,179.99,
1200230,269.99,
1200233,279.99,
1200234,379.99,
1200235,399.99,
1200236,398.75,
1200238,399.99,
1200239,114.99,
1200240,119.99,
1200241,124.99,
1200242,129.99,
1200246,134.99,
1200248,269.99,
1200256,139.99,
1200257,149.99,
1200259,159.99,
1200263,159.99,
1200265,169.99,
1200270,209.99,
1200271,169.99,
1200272,179.99,
1200273,129.99,
1200274,199.99,
1200275,209.99,
1200277,229.99,
1200279,179.99,
1200280,179.99,
1200281,189.99,
1200282,226.85,
1200284,219.99,
1200285,229.99,
1200287,239.99,
1200288,239.99,
1200291,159.99,
1200299,249.99,
1200300,294.99,
1200303,284.99,
1202357,59.99,
1202365,119.99,
1204304,139.99,
1204312,149.99,
1204320,154.99,
1204338,164.99,
1204346,119.99,
1204353,174.99,
1204361,199.99,
1204379,149.99,
1204387,179.99,
1204395,184.99,
1204403,169.99,
1204429,169.99,
1204437,159.99,
1204452,199.99,
1204510,179.99,
1204536,184.99,
1204593,209.99,
1204619,269.99,
1204635,289.99,
1204700,599.99,
1204734,229.99,
1204742,239.99,
1204759,259.99,
1210002,149.99,
1210003,109.99,
1210005,119.99,
1210006,129.99,
1210007,179.99,159.99
1210009,269.99,239.99
1210010,199.99,
1220006,796.55,
1220008,199.93,
1220022,359.93,
1220029,748.25,
1220030,269.99,130.83
1220031,269.99,128.23
1220032,269.99,118.33
1220033,269.99,116.83
1220034,849.99,
1220045,999.99,
1220060,1285.55,
1220383,329.99,169.23
1220987,109.99,59.99
1220995,129.99,79.99
1221118,299.99,153.63
1221555,349.99,162.03
1222173,699.99,280.03
1222447,1149.99,
1240021,69.99,
1240022,49.99,
1240024,199.99,
1240028,134.99,
1240036,188.25,
1240037,59.99,
1240038,69.99,
1240039,79.99,
1240044,119.99,
1240045,119.99,
1240047,44.99,
1240048,59.99,
1240063,129.99,
1240064,22.43,
1240065,79.99,
1240066,22.43,
1242296,219.99,
1249531,129.99,
1249549,209.99,
1249556,289.99,
1249564,349.99,
1249572,429.99,
1249598,139.99,
1249655,349.99,
1249663,449.99,
1249713,259.99,
1249721,149.99,
1249739,239.99,
1249747,319.99,
1249754,399.99,
1249762,399.99,
1249796,229.99,
1249804,329.99,
1249812,429.99,
1249820,499.99,
1249838,599.99,
1249846,849.99,
1249887,29.99,
1249895,34.99,
1249903,49.99,
1250002,3.99,
1250003,6.99,2.83
1250004,4.99,
1250007,3.99,
1250008,8.99,
1250009,7.99,
1250023,9.99,
1250028,28.99,16.83
1250029,9.99,
1250032,19.99,
1250033,24.99,
1250040,59.99,
1250041,149.99,
1250043,169.99,
1250051,49.99,
1250058,18.99,
1250060,23.99,
1250061,24.99,
1250062,27.99,
1250065,5.93,
1250068,76.99,38.73
1250086,.49,
1250087,1.19,
1250088,1.29,
1250090,11.99,
1250092,14.99,
1250093,19.99,
1250094,24.99,
1250095,44.99,
1250096,319.99,
1250101,29.99,
1250105,44.99,18.03
1250106,129.99,
1250107,19.99,
1250111,28.99,
1250112,28.99,
1250620,.59,
1251123,11.99,
1251131,13.99,
1251370,14.99,
1251388,14.99,
1251602,39.99,
1251610,49.99,
1252410,25.99,
1252444,10.13,
1252923,7.99,
1253285,4.99,
1255058,54.99,
1255066,39.99,
1258953,13.99,
1258961,16.99,
1258979,19.99,
1258995,39.99,
1259001,29.99,
1259019,29.99,
1259027,29.99,
1259035,26.99,
1259050,29.99,
1259068,27.99,
1259076,19.99,
1259084,34.99,
1259092,34.99,
1259100,29.99,
1259126,44.99,
1259134,34.99,
1259142,49.99,
1259159,49.99,
1259167,36.99,
1259175,199.99,
1259993,149.93,
1270005,1099.99,
1270020,199.99,89.33
1270021,279.99,125.83
1270022,39.99,
1270023,349.99,
1270025,649.99,
1270037,549.99,
1270038,929.99,
1270041,199.99,
1270042,549.99,
1270043,649.99,
1270044,229.99,
1270046,319.99,
1270047,149.99,
1270048,109.99,
1270050,129.99,
1270053,159.99,
1270054,209.99,
1270067,129.99,
1270069,159.99,
1270075,105.03,
1270078,49.99,
1270079,29.99,
1270083,479.99,
1270084,449.99,
1270088,59.99,
1270089,79.99,
1270099,899.99,
1270102,84.99,
1270103,99.99,
1270248,259.99,
1290006,7.99,
1290016,4.99,
1290017,4.99,
1290019,5.79,
1290020,7.99,
1290021,6.99,
1290026,2.23,
1290029,3.93,
1290031,8.99,
1290049,.93,
1290062,3.49,
1290065,4.99,
1290066,15.99,
1290070,6.09,
1290075,5.49,
1290076,9.99,
1290077,5.99,
1290078,12.99,
1290079,6.49,
1290080,13.99,
1290082,7.43,
1290085,54.99,
1290086,26.99,
1290087,34.99,
1290088,15.99,
1290090,5.93,
1290200,7.93,
1290201,1.93,
1290204,3.93,
1290207,25.99,
1290208,11.99,
1290210,1.13,
1290213,1.03,
1290214,1.73,
1290218,2.43,
1290227,11.99,
1290229,.93,
1290230,5.99,
1290231,6.99,
1290232,7.99,
1290233,8.99,
1290234,10.99,
1290235,12.99,
1290240,6.99,
1290241,6.99,
1290242,7.99,
1290243,10.99,
1290244,7.99,
1290245,7.99,
1290246,7.93,
1290247,5.99,
1290248,8.99,
1290249,8.99,
1290250,3.63,
1290251,11.99,
1290252,19.99,
1290254,5.93,
1290255,11.99,
1290256,13.99,
1290257,13.99,
1290258,14.99,
1290259,14.99,
1290260,19.99,
1290262,29.99,
1290263,9.99,
1290264,11.99,
1290265,13.99,
1290266,8.99,
1290267,9.99,
1290268,10.99,
1290269,.93,
1290270,8.99,
1290271,2.43,
1290272,9.99,
1290273,10.99,
1290274,11.99,
1290275,24.99,
1290277,.93,
1290279,3.93,
1290281,8.99,
1290282,19.99,
1290283,19.99,
1290284,24.99,
1290285,6.99,
1290286,1.23,
1290287,12.99,
1290288,7.99,
1290289,8.99,
1290290,8.99,
1290291,11.99,
1290292,13.99,6.73
1290293,17.99,11.03
1290294,6.99,
1290295,14.99,
1290296,6.99,3.43
1290297,6.99,
1290298,6.99,
1290299,6.99,
1290300,8.99,
1290301,9.99,
1290302,13.99,
1290303,15.99,
1290304,16.99,
1290305,16.99,
1290307,12.99,
1290308,12.99,
